alt_low_km,alt_high_km,alt_mid_km,object_count,shell_volume_km3,spatial_density_per_km3,cpf_normalized
200,225,212.5,15,13645994056.3,1.0992236943799434e-09,0.0034356036289396926
225,250,237.5,19,13749715889.7,1.3818467343191728e-09,0.004318936790880767
250,275,262.5,40,13853830422.2,2.8872881203894525e-09,0.009024166413916289
275,300,287.5,54,13958337653.8,3.86865551895616e-09,0.012091412337632253
300,325,312.5,79,14063237584.5,5.61748313822498e-09,0.017557341198035054
325,350,337.5,271,14168530214.3,1.9126895726008098e-08,0.05978076409978769
350,375,362.5,795,14274215543.2,5.569482943531972e-08,0.17407317464085129
375,400,387.5,159,14380293571.1,1.1056797916796775e-08,0.034557820434199825
400,425,412.5,271,14486764298.1,1.870673080771518e-08,0.058467546303063826
425,450,437.5,286,14593627724.2,1.9597594608023937e-08,0.06125192487939923
450,475,462.5,3276,14700883849.4,2.2284374419631156e-07,0.6964940622747605
475,500,487.5,4738,14808532673.7,3.199506733316583e-07,1.0
500,525,512.5,766,14916574197.0,5.135227364419012e-08,0.16050059563699923
525,550,537.5,1624,15025008419.5,1.0808646189483346e-07,0.33782226731803716
550,575,562.5,1034,15133835341.0,6.832372473356972e-08,0.21354455679718448
575,600,587.5,604,15243054961.6,3.9624602910822024e-08,0.1238459744379018
600,625,612.5,424,15352667281.2,2.7617350928851553e-08,0.08631752714026523
625,650,637.5,579,15462672300.0,3.744501524487471e-08,0.11703371290004914
650,675,662.5,369,15573070017.8,2.3694749948297385e-08,0.07405750924529418
675,700,687.5,508,15683860434.8,3.238998473068486e-08,0.10123430713055466
700,725,712.5,510,15795043550.8,3.2288609927605345e-08,0.10091746203057754
725,750,737.5,560,15906619365.8,3.5205469315656566e-08,0.11003405290278248
750,775,762.5,756,16018587880.0,4.719517136360998e-08,0.14750764820140835
775,800,787.5,904,16130949093.3,5.6041339835239374e-08,0.17515618658238413
800,825,812.5,830,16243703005.6,5.1096723432751567e-08,0.15970187810727035
825,850,837.5,795,16356849617.0,4.860349141891658e-08,0.15190932687469166
